Serial Feed Started
Time Setpoint Input Output
350 100.00 151.25 0.00
351 100.00 151.00 0.00
352 100.00 151.00 0.00
353 100.00 150.25 0.00
354 100.00 149.50 0.00
355 100.00 149.00 0.00
356 100.00 149.00 0.00
357 100.00 148.50 0.00
358 100.00 147.75 0.00
359 100.00 146.50 0.00
360 100.00 145.00 0.00
361 100.00 144.00 0.00
362 100.00 142.75 0.00
363 100.00 142.50 0.00
364 100.00 142.25 0.00
365 100.00 142.00 0.00
366 100.00 142.00 0.00
367 100.00 141.75 0.00
368 100.00 141.00 0.00
369 100.00 141.00 0.00
370 100.00 140.75 0.00
371 100.00 140.25 0.00
372 100.00 140.00 0.00
373 100.00 139.50 0.00
374 100.00 139.50 0.00
375 100.00 139.25 0.00
376 100.00 138.75 0.00
377 100.00 138.25 0.00
378 100.00 137.75 0.00
379 100.00 137.25 0.00
380 100.00 137.00 0.00
381 100.00 136.75 0.00
382 100.00 136.25 0.00
383 100.00 135.75 0.00
384 100.00 135.25 0.00
385 100.00 134.50 0.00
386 100.00 133.75 0.00
387 100.00 133.25 0.00
388 100.00 132.75 0.00
389 100.00 132.50 0.00
390 100.00 132.25 0.00
391 100.00 132.00 0.00
392 100.00 131.50 0.00
393 100.00 130.75 0.00
394 100.00 130.50 0.00
395 100.00 130.25 0.00
396 100.00 130.00 0.00
397 100.00 129.25 0.00
398 100.00 128.50 0.00
399 100.00 128.50 0.00
400 100.00 128.00 0.00
401 100.00 127.50 0.00
402 100.00 127.25 0.00
403 100.00 127.00 0.00
404 100.00 126.50 0.00
405 100.00 126.00 0.00
406 100.00 125.50 0.00
407 100.00 125.00 0.00
408 100.00 124.50 0.00
409 100.00 124.25 0.00
410 100.00 124.00 0.00
411 100.00 123.75 0.00
412 100.00 123.50 0.00
413 100.00 123.50 0.00
414 100.00 123.00 0.00
415 100.00 122.50 0.00
416 100.00 122.00 0.00
417 100.00 121.25 0.00
418 100.00 120.50 0.00
419 100.00 120.00 0.00
420 100.00 119.50 0.00
421 100.00 119.00 0.00
422 100.00 118.25 0.00
423 100.00 117.50 0.00
424 100.00 117.00 0.00
425 100.00 116.50 0.00
426 100.00 116.25 0.00
427 100.00 115.75 0.00
428 100.00 115.50 0.00
429 100.00 115.00 0.00
430 100.00 114.50 0.00
431 100.00 114.00 0.00
432 100.00 113.25 0.00
433 100.00 112.75 0.00
434 100.00 112.50 0.00
435 100.00 112.25 0.00
436 100.00 112.00 0.00
437 100.00 111.75 0.00
438 100.00 111.25 0.00
439 100.00 110.50 0.00
440 100.00 110.25 0.00
441 100.00 109.75 0.00
442 100.00 109.25 0.00
443 100.00 109.00 0.00
444 100.00 108.75 0.00
445 100.00 108.50 0.00
446 100.00 108.00 0.00
447 100.00 107.75 0.00
448 100.00 107.75 0.00
449 100.00 107.25 0.00
450 100.00 106.50 0.00
451 100.00 105.75 0.00
452 100.00 105.50 0.00
453 100.00 105.00 0.00
454 100.00 104.75 0.00
455 100.00 104.00 0.00
456 100.00 103.50 0.00
457 100.00 102.75 0.00
458 100.00 102.25 0.00
459 100.00 101.75 0.00
460 100.00 101.25 0.00
461 100.00 101.00 0.00
462 100.00 100.50 0.00
463 100.00 100.25 25.00
464 100.00 100.00 12.50
