Serial Feed Started
Time Setpoint Input Output
499 100.00 119.75 0.00
500 100.00 119.50 0.00
501 100.00 119.25 0.00
502 100.00 118.75 0.00
503 100.00 118.25 0.00
504 100.00 118.00 0.00
505 100.00 117.75 0.00
506 100.00 117.25 0.00
507 100.00 117.00 0.00
508 100.00 116.75 0.00
509 100.00 116.00 0.00
510 100.00 115.75 0.00
511 100.00 115.25 0.00
512 100.00 114.75 0.00
513 100.00 114.25 0.00
514 100.00 114.00 0.00
515 100.00 113.50 0.00
516 100.00 113.00 0.00
517 100.00 112.50 0.00
518 100.00 112.25 0.00
519 100.00 112.00 0.00
520 100.00 112.00 0.00
521 100.00 111.75 0.00
522 100.00 111.50 0.00
523 100.00 111.00 0.00
524 100.00 110.75 0.00
525 100.00 110.50 0.00
526 100.00 110.25 0.00
527 100.00 109.75 0.00
528 100.00 109.50 0.00
529 100.00 109.50 0.00
530 100.00 108.75 0.00
531 100.00 108.75 0.00
532 100.00 108.25 0.00
533 100.00 107.75 0.00
534 100.00 107.50 0.00
535 100.00 107.00 0.00
536 100.00 106.75 0.00
537 100.00 106.25 0.00
538 100.00 105.75 0.00
539 100.00 105.25 0.00
540 100.00 105.00 0.00
541 100.00 104.50 0.00
542 100.00 104.00 0.00
543 100.00 103.75 0.00
544 100.00 103.25 0.00
545 100.00 103.00 0.00
546 100.00 102.75 0.00
547 100.00 102.25 0.00
548 100.00 101.75 0.00
549 100.00 101.50 0.00
550 100.00 101.00 0.00
551 100.00 100.50 0.00
552 100.00 100.25 25.00
553 100.00 99.75 12.50
